t,u,v,seg,a
25.105535345,20,0.10225318145751952,23,-3261.0391418133045
25.105545953,20,0.11077427673339844,23,1604.7260410133194
25.105557609999998,20,0.10225318145751952,23,-1342.3275490559624
25.105564108,20,0.11077427673339844,23,1311.3412241185201
25.105575080999998,20,0.10225318145751952,23,-1903.7299555402415
25.105583455,20,0.11077427673339844,23,2035.1314239726644
25.105599308000002,20,0.10225318145751952,23,-1598.10489025954
25.105609978,20,0.11077427673339844,23,1597.2062370136791
25.105620628,20,0.10225318145751952,23,-1603.2164198344149
25.105625939000003,20,0.11077427673339844,23,1604.4238885233588
25.105631251,20,0.10225318145751952,23,-1604.121853014598
25.105636600999997,20,0.11077427673339844,23,1592.7280893745228
25.105647314000002,20,0.10225318145751952,23,-1590.9438520741542
25.105657908,20,0.11077427673339844,23,1609.8800820577794
25.105673793,20,0.10225318145751952,23,-1608.6643899944477
25.105679089000002,20,0.11077427673339844,23,1608.968140848437
25.105684426,20,0.10225318145751952,23,-1596.6076971850457
25.105689768,20,0.11929537200927734,23,3190.226609339555
25.105695111,20,0.10225318145751952,23,-3189.629526139005
25.105700482,20,0.11077427673339844,23,1586.5007029209053
25.105711233,20,0.10225318145751952,23,-1585.3200511374637
25.105716520999998,20,0.11077427673339844,23,1611.4022845540574
25.105721796999998,20,0.10225318145751952,23,-1615.0673382484028
25.105727072,20,0.11077427673339844,23,1615.3735110887974
25.105743101,20,0.10225318145751952,23,-1593.9198041564132
25.105748460999997,20,0.11929537200927734,23,3179.513165105231
25.105753824,20,0.10225318145751952,23,-3177.7345779579914
25.105759186,20,0.11077427673339844,23,1589.1636099535156
25.105780492999997,20,0.10225318145751952,23,-1538.9372009396352
25.105786069999997,20,0.11929537200927734,23,3055.79891572707
25.105791646999997,20,0.10225318145751952,23,-3055.79891572707
25.105796779,20,0.11077427673339844,23,1660.3848933760953
25.105812207,20,0.10225318145751952,23,-1610.4886184689758
25.10581753,20,0.11077427673339844,23,1600.80692768255
25.105833548,20,0.10225318145751952,23,-1593.0258512405926
25.105838897,20,0.11077427673339844,23,1593.0258501825324
25.105849553,20,0.10225318145751952,23,-1599.6048960404755
25.10585488,20,0.11077427673339844,23,1599.6048949736578
25.105860241,20,0.10225318145751952,23,-1589.4600404220093
25.105865608,20,0.11929537200927734,23,3175.36622914599
25.105870974000002,20,0.10225318145751952,23,-3175.957983750662
25.105881644,20,0.11077427673339844,23,1597.8052268389004
25.105897836,20,0.10225318145751952,23,-1567.530404360127
25.105903273,20,0.11077427673339844,23,1567.242096371449
25.105913625,20,0.10225318145751952,23,-1651.6951503912255
25.105918783,20,0.11077427673339844,23,1652.015369355729
25.105924076,20,0.11929537200927734,23,1609.8800820577742
25.105929388,20,0.10225318145751952,23,-3208.2437038834883
25.105940049,20,0.11077427673339844,23,1593.0258512405926
25.105945403,20,0.11929537200927734,23,1591.5381542071782
25.105950757,20,0.10225318145751952,23,-3183.076308414362
25.105956199,20,0.11077427673339844,23,1565.802144755425
25.105972438000002,20,0.10225318145751952,23,-1599.0045553124794
25.105977749999997,20,0.11929537200927734,23,3208.243706029191
25.105983062,20,0.10225318145751952,23,-3208.243701737786
25.105988774,20,0.11077427673339844,23,1491.7883886076054
25.105994543,20,0.10225318145751952,23,-1477.0489294521785
25.106000312,20,0.11077427673339844,23,1477.0489303617871
25.106009957999998,20,0.10225318145751952,23,-1790.1460665518111
25.106020083,20,0.11077427673339844,23,1588.274980528133
25.106025535,20,0.10225318145751952,23,-1562.9301680165167
25.106036343,20,0.11077427673339844,23,1590.6468689993374
25.106047029000003,20,0.10225318145751952,23,-1594.8147620090672
25.106052959,20,0.11077427673339844,23,1436.9469275621952
25.107069204,25,0.05112659072875977,25,9631.987705683647
25.107074508,25,0.06816878509521485,25,3213.0834012901455
25.107079812,25,0.07668988037109375,25,1606.5413421154635
25.107085115999997,25,0.06816878509521485,25,-1606.5413421154635
25.107090436,25,0.07668988037109375,25,1601.7096373611769
25.10709576,25,0.06816878509521485,25,-1600.5062501731293
25.107106422,25,0.08521098327636718,25,3192.0206363131906
25.107117104,25,0.09373208618164063,25,1595.4133886425946
25.107122413000003,25,0.08521098327636718,25,-1605.0297422501778
25.107127719,25,0.10225318145751952,25,3211.8730090504746
25.107143725,25,0.11077427673339844,25,1591.5381542071834
25.107154403,25,0.11929537200927734,25,1600.2056855942378
25.107159724000002,25,0.11077427673339844,25,-1601.4086206784266
25.107165045000002,25,0.11929537200927734,25,1601.4086217476515
25.107170385,25,0.12781646728515625,25,1595.7107264940526
25.107175727999998,25,0.11929537200927734,25,-1594.8147630695025
25.107181071,25,0.12781646728515625,25,1594.8147620090647
25.107186402,25,0.11929537200927734,25,-1598.4046661031543
25.107191732,25,0.1363375701904297,25,3197.4105402721552
25.107197062,25,0.11929537200927734,25,-3197.4105402721552
25.107207642000002,25,0.1363375701904297,25,3223.4155815500067
25.107212929000003,25,0.12781646728515625,25,-1611.7085122989802
25.107228927,25,0.1363375701904297,25,1597.2076660146345
25.107234288,25,0.12781646728515625,25,-1589.4614635510002
25.107239653,25,0.1363375701904297,25,1588.2764036478359
25.107245018,25,0.11929537200927734,25,-3176.5513852277254
25.107250338999997,25,0.1363375701904297,25,3202.8186794609596
25.107260968,25,0.12781646728515625,25,-1603.2178563518728
25.107276892,25,0.1363375701904297,25,1605.3321216537922
25.107282244999997,25,0.12781646728515625,25,-1591.8368975914734
25.107287604,25,0.1363375701904297,25,1590.0546558520869
25.107292963,25,0.12781646728515625,25,-1590.054656906203
25.107298263,25,0.1363375701904297,25,1607.7552646787176
25.107308848,25,0.12781646728515625,25,-1609.881523469931
25.107314201,25,0.1363375701904297,25,1591.8368954785121
25.107319564,25,0.11929537200927734,25,-3177.7360026613505
25.107324926,25,0.14485867309570313,25,4767.493675587705
25.10733024,25,0.1363375701904297,25,-1603.5195533765736
25.107335545999998,25,0.12781646728515625,25,-1605.9372234655455
25.107340853,25,0.1363375701904297,25,1605.6346150123447
25.107351472999998,25,0.12781646728515625,25,-1604.727477810781
25.107356783,25,0.1363375701904297,25,1604.7274767371205
25.107376276,25,0.12781646728515625,25,-848.5463957040973
25.107386319,25,0.1363375701904297,25,848.4619043702385
25.107388123,25,0.12781646728515625,25,-4723.449503901829
25.10738875,25,0.1363375701904297,25,13590.275796602242
25.107394082,25,0.14485867309570313,25,1810.6891006903568
25.107399369,25,0.12781646728515625,25,-3223.4170245979603
25.107404657,25,0.1363375701904297,25,1611.4037262465056
25.107426022,25,0.12781646728515625,25,-1594.2194392041297
25.107431367,25,0.1363375701904297,25,1594.2194392041297
25.107436712,25,0.14485867309570313,25,1594.2194402637751
25.107442031999998,25,0.1363375701904297,25,-1601.7110725275206
25.107447348,25,0.12781646728515625,25,-1602.9162717612194
25.107452665,25,0.1363375701904297,25,1602.6148027542856
25.107468537,25,0.12781646728515625,25,-1610.7944998346502
25.107473926999997,25,0.1363375701904297,25,1580.9096304110676
25.10749003,25,0.12781646728515625,25,-1609.2734473013456
25.107495309999997,25,0.1363375701904297,25,1613.8452483318101
25.10750059,25,0.14485867309570313,25,1613.8452461600184
25.107506,25,0.1363375701904297,25,-1575.0652320331712
25.107522108,25,0.12781646728515625,25,-1622.7581229457273
25.107527332,25,0.1363375701904297,25,1631.1452732050661
25.107532557,25,0.14485867309570313,25,1630.8330922656376
25.107540646,25,0.1363375701904297,25,-1053.4185812613687
25.107562725,25,0.14485867309570313,25,3976.2495998280765
25.107564867,25,0.1363375701904297,25,-3978.105932253872
25.107569836,25,0.12781646728515625,25,-1714.8526679312472
25.107575208,25,0.1363375701904297,25,1586.2067953558355
25.107591145999997,25,0.12781646728515625,25,-1614.762726143519
25.107596422,25,0.14485867309570313,25,3230.1375664348807
25.107601738,25,0.1363375701904297,25,-1602.9162728324577
25.107617842,25,0.12781646728515625,25,-1560.927441750562
25.107623322,25,0.1363375701904297,25,1554.9457860112598
25.107628801,25,0.14485867309570313,25,1555.229586045898
25.107634011,25,0.1363375701904297,25,-1635.5283894669951
25.107644355,25,0.12781646728515625,25,-1647.545031443333
25.107649711999997,25,0.1363375701904297,25,1590.6482942458629
25.107655095,25,0.14485867309570313,25,1582.965428796599
25.107660479,25,0.1363375701904297,25,-1582.6714158769548
25.107671083,25,0.12781646728515625,25,-1608.6658313970615
25.107676379,25,0.14485867309570313,25,3217.939162888157
25.107681695,25,0.1363375701904297,25,-1602.9162728324577
25.107687013,25,0.12781646728515625,25,-1602.3134460533618
25.107692332,25,0.14485867309570313,25,3204.024405331479
25.107697639,25,0.1363375701904297,25,-1605.6346150123447
25.107718897999998,25,0.14485867309570313,25,1599.906667430626
25.107724224000002,25,0.1363375701904297,25,-1599.9066652961872
25.107729554000002,25,0.12781646728515625,25,-1598.7059858391294
25.107734883000003,25,0.1363375701904297,25,1599.0059869871873
25.107745574,25,0.14485867309570313,25,1589.4614635510002
25.107750940000003,25,0.1363375701904297,25,-1587.980413678262
25.107756305,25,0.14485867309570313,25,1588.2764046995958
25.107761633,25,0.1363375701904297,25,-1599.3061007482981
25.107818089000002,25,0.14485867309570313,25,2601.06926206934
25.107820554000003,25,0.12781646728515625,25,-6913.673752746346
25.10782302,25,0.1363375701904297,25,3455.4350820162904
25.107831703,25,0.12781646728515625,25,-1907.567251359627
25.10783617,25,0.14485867309570313,25,3815.134499684985
25.107841388,25,0.1363375701904297,25,-1633.0208704933982
25.107862726,25,0.12781646728515625,25,-1594.2194402637751
25.107868071000002,25,0.1363375701904297,25,1594.2194392041297
25.107915987000002,25,0.12781646728515625,25,-1604.425325050287
25.107921302999998,25,0.1363375701904297,25,1602.9162739036958
25.107931936,25,0.14485867309570313,25,1602.9162717612194
25.107937243000002,25,0.12781646728515625,25,-3211.2692300246895
25.107942547,25,0.1363375701904297,25,1606.5427805382642
25.107963838,25,0.12781646728515625,25,-1598.7059858391294
25.107969183,25,0.1363375701904297,25,1594.2194392041297
25.107979878,25,0.12781646728515625,25,-1593.623135953818
25.107985199999998,25,0.1363375701904297,25,1601.1091517439388
25.108001176000002,25,0.12781646728515625,25,-1596.0110315911527
25.108006517000003,25,0.1363375701904297,25,1595.4133875813611
25.108017155000002,25,0.12781646728515625,25,-1608.6658303181246
25.108022445,25,0.1363375701904297,25,1610.7945009164446
25.108033067,25,0.12781646728515625,25,-1598.406097240752
25.108043742000003,25,0.1363375701904297,25,1596.310022067407
25.108054441,25,0.12781646728515625,25,-1592.4318645890553
25.108059791,25,0.1363375701904297,25,1592.7295154295734
25.10908277,30,0.01704219627380371,27,2036.1046922696514
25.10909114,30,0.07668988037109375,27,7126.366081125029
25.109096265,30,0.09373208618164063,27,3325.30845001343
25.109105587,30,0.11077427673339844,27,3656.3378154005745
25.109111728,30,0.10225318145751952,27,-2873.893856846165
25.109114693,30,0.11929537200927734,27,5747.787706805223
25.109127495,30,0.11077427673339844,27,-1285.2330736923686
25.109134124,30,0.11929537200927734,27,1285.4269534047994
25.109142666,30,0.12781646728515625,27,2071.243382902201
25.10915187,30,0.1363375701904297,27,1673.7581814785876
25.109167636,30,0.14485867309570313,27,1606.5427805382642
25.109172951,30,0.15337977600097658,27,1603.2178552802313
25.109194207,30,0.16190087890625,27,1603.8213628981978
25.109204907,30,0.15337977600097658,27,-1592.1343249783022
25.109210259,30,0.17042196655273434,27,3184.2657967985597
25.109215564,30,0.16190087890625,27,-1606.2370686244008
25.109220861999997,30,0.15337977600097658,27,-1608.3621949370413
25.10922616,30,0.17042196655273434,27,3216.7215076133875
25.109231759,30,0.16190087890625,27,-1521.8945605175259
25.109237400999998,30,0.17042196655273434,27,1510.295577758224
25.10924814,30,0.16190087890625,27,-1671.7849025371381
25.10925316,30,0.17042196655273434,27,1697.4278169285853
25.109258179,30,0.16190087890625,27,-1697.7660185599825
25.109268913,30,0.17894305419921874,27,3161.8135989337975
25.109274303,30,0.16190087890625,27,-3161.8135989337975
25.109279592,30,0.17042196655273434,27,1611.0961704422941
25.109290142000003,30,0.16190087890625,27,-1615.3720647580733
25.109295491,30,0.17042196655273434,27,1593.0244249189295
25.109316785,30,0.17894305419921874,27,1613.2312848168042
25.109322066,30,0.16190087890625,27,-3227.073526429018
25.109327377000003,30,0.17042196655273434,27,1604.4224519964202
25.109343412999998,30,0.16190087890625,27,-1575.9363144997983
25.109348832,30,0.17042196655273434,27,1572.4465114115847
25.109359534,30,0.17894305419921874,27,1613.2312848168042
25.109364796999998,30,0.16190087890625,27,-3238.1104499134713
25.109370059,30,0.17042196655273434,27,1619.3629120730889
25.109385937,30,0.17894305419921874,27,1609.5745467553422
25.109391318,30,0.17042196655273434,27,-1583.550946791366
25.109412636000002,30,0.17894305419921874,27,1621.2115000247118
25.109417893000003,30,0.17042196655273434,27,-1620.9031089968078
25.109428595,30,0.17894305419921874,27,1590.6454437528134
25.109433953,30,0.17042196655273434,27,-1590.3485717997557
25.109444557,30,0.17894305419921874,27,1608.0557924402253
25.109449854999998,30,0.17042196655273434,27,-1608.3593148334141
25.109472147,30,0.17894305419921874,27,1351.6953755342463
25.109478591,30,0.17042196655273434,27,-1322.328934019665
25.109491479,30,0.17894305419921874,27,1322.328934019665
25.109497923,30,0.17042196655273434,27,-1322.328933290637
25.109504367000003,30,0.17894305419921874,27,1322.328932561609
25.109508096000003,30,0.17042196655273434,27,-2285.0865239299837
25.109511437000002,30,0.17894305419921874,27,2550.4602359200057
25.109514779,30,0.17042196655273434,27,-2549.6970819860144
25.109529948,30,0.17894305419921874,27,1660.7070063239973
25.109535432,30,0.17042196655273434,27,-1553.8088334275465
25.109540966,30,0.17894305419921874,27,1539.7700844096819
25.1095465,30,0.17042196655273434,27,-1539.7700844096819
25.109556612,30,0.17894305419921874,27,1696.0763627488602
25.109561635,30,0.17042196655273434,27,-1696.4140248040271
25.10956695,30,0.17894305419921874,27,1603.2149843885982
25.109572305999997,30,0.17042196655273434,27,-1590.942429727218
25.109577663,30,0.17894305419921874,27,1590.6454437528134
25.10958298,30,0.17042196655273434,27,-1602.6119329425421
25.109593602,30,0.17894305419921874,27,1604.422453069685
25.109598918,30,0.17042196655273434,27,-1602.91340248087
25.109620231,30,0.17894305419921874,27,1595.4105306652343
25.109625573000002,30,0.17042196655273434,27,-1595.111876479118
25.109630898,30,0.17894305419921874,27,1600.2042539117172
25.10963622,30,0.17042196655273434,27,-1601.1062846283735
25.109641542000002,30,0.17894305419921874,27,1601.1062835595512
25.109648289,30,0.17042196655273434,27,-1262.9446643506174
25.109676462,30,0.17894305419921874,27,1827.383154426954
25.109680925,30,0.17042196655273434,27,-1909.273503672209
25.10968536,30,0.17894305419921874,27,1921.3275410410135
25.109689794999998,30,0.16190087890625,27,-3842.655085160223
25.109694961000002,30,0.17042196655273434,27,1649.4556017792431
25.109700231999998,30,0.17894305419921874,27,1616.5979232815093
25.109705502,30,0.17042196655273434,27,-1616.9046759512662
25.109758866,30,0.17894305419921874,27,1614.4538929398673
25.109764125999998,30,0.16190087890625,27,-3239.9572811219837
25.109769385,30,0.17894305419921874,27,3240.573357569504
25.109774987,30,0.16190087890625,27,-3042.159101735537
25.109780637,30,0.17042196655273434,27,1508.1571059662028
25.109786287,30,0.17894305419921874,27,1508.1571059662126
25.109791395,30,0.17042196655273434,27,-1668.1847389799916
