t,u,v,seg
48802.185698,7,0.013656745910644532,13
48802.187156,7,0.013656745910644532,13
48802.188614,7,0.013656745910644532,13
48802.190072,7,0.013656745910644532,13
48802.192013,7,0.013656745910644532,13
48802.194066,7,0.013656745910644532,13
48802.196119,7,0.013656745910644532,13
48802.198171,7,0.013656745910644532,13
48802.199991,7,0.013656745910644532,13
48802.201796,7,0.013656745910644532,13
48802.2036,7,0.013656745910644532,13
48802.205417,7,0.013432877540588377,13
48802.207428,7,0.013432877540588377,13
48802.209438,7,0.013432877540588377,13
48802.211449,7,0.013209009170532226,13
48802.213466,7,0.013209009170532226,13
48802.215514,7,0.013209009170532226,13
48802.217562,7,0.013209009170532226,13
48802.21961,7,0.013432877540588377,13
48802.221676,7,0.013432877540588377,13
48802.22378,7,0.013432877540588377,13
48802.225885,7,0.013656745910644532,13
48802.227989,7,0.013656745910644532,13
48802.230264,7,0.013656745910644532,13
48802.232756,7,0.013432877540588377,13
48802.235249,7,0.013432877540588377,13
48802.237742,7,0.013432877540588377,13
48802.239645,7,0.013432877540588377,13
48802.241088,7,0.013209009170532226,13
48802.242531,7,0.013209009170532226,13
48802.243974,7,0.013432989120483399,13
48802.245823,7,0.013432989120483399,13
48802.247856,7,0.013656858444213868,13
48802.249889,7,0.013880725860595702,13
48802.251921,7,0.013880725860595702,13
48802.253851,7,0.013880725860595702,13
48802.255756,7,0.013656858444213868,13
48802.257662,7,0.013656858444213868,13
48802.259567,7,0.013656858444213868,13
48802.261535,7,0.013656858444213868,13
48802.263508,7,0.013656858444213868,13
48802.26548,7,0.013656858444213868,13
48802.267455,7,0.013432989120483399,13
48802.269472,7,0.013432989120483399,13
48802.271489,7,0.013432989120483399,13
48802.273505,7,0.013432989120483399,13
48802.27552,7,0.013656858444213868,13
48802.277525,7,0.013656858444213868,13
48802.279531,7,0.013656858444213868,13
48802.281536,7,0.013656858444213868,13
48802.283797,7,0.013656858444213868,13
48802.286621,7,0.013656858444213868,13
48802.289444,7,0.013656858444213868,13
48802.292268,7,0.013656858444213868,13
48802.294397,7,0.013656858444213868,13
48802.295633,7,0.013656858444213868,13
48802.296869,7,0.013432989120483399,13
48802.298105,7,0.013656858444213868,13
48802.299775,7,0.013656858444213868,13
48802.301781,7,0.013656858444213868,13
48802.303787,7,0.013656858444213868,13
48804.397565,8,0.022836463928222656,15
48804.399579,8,0.022836463928222656,15
48804.401401,8,0.022836463928222656,15
48804.402976,8,0.023060333251953124,15
48804.404551,8,0.023060333251953124,15
48804.406126,8,0.023060333251953124,15
48804.407975,8,0.023060333251953124,15
48804.410035,8,0.023060333251953124,15
48804.412096,8,0.023060333251953124,15
48804.414156,8,0.023284313201904296,15
48804.416157,8,0.02306044387817383,15
48804.418132,8,0.02306044387817383,15
48804.420106,8,0.023284313201904296,15
48804.422081,8,0.023284313201904296,15
48804.424094,8,0.023284313201904296,15
48804.426116,8,0.023284313201904296,15
48804.428139,8,0.023284313201904296,15
48804.430161,8,0.023508182525634767,15
48804.432184,8,0.023508182525634767,15
48804.434206,8,0.023508182525634767,15
48804.436228,8,0.023508182525634767,15
48804.438244,8,0.023508182525634767,15
48804.440156,8,0.023508182525634767,15
48804.442068,8,0.023508182525634767,15
48804.443981,8,0.023508182525634767,15
